State,State Code,2011 Percent,2011 Total,2010 Percent,2010 Total,2009 Percent,2009 Total,2008 Percent,2008 Total,2007 Percent,2007 Total,2006 Percent,2006 Total,2005 Percent,2005 Total,2004 Percent,2004 Total,2003 Percent,2003 Total,2002 Percent,2002 Total,2001 Percent,2001 Total,2000 Percent,2000 Total,1999 Percent,1999 Total,1998 Percent,1998 Total,1997 Percent,1997 Total,1996 Percent,1996 Total,1995 Percent,1995 Total,1994 Percent,1994 Total,1993 Percent,1993 Total,1992 Percent,1992 Total,1991 Percent,1991 Total,1990 Percent,1990 Total,1989 Percent,1989 Total,1988 Percent,1988 Total,1987 Percent,1987 Total,1986 Percent,1986 Total,1985 Percent,1985 Total,1984 Percent,1984 Total,1983 Percent,1983 Total,1982 Percent,1982 Total,1981 Percent,1981 Total,1980 Percent,1980 Total,1979 Percent,1979 Total,1978 Percent,1978 Total,1977 Percent,1977 Total,1976 Percent,1976 Total
Alabama,AL,9,196542,9.5,206776,9.9,212778,5,108403,3.4,74323,3.5,75355,3.8,81284,5,106628,5.4,114425,5.4,113110,4.7,99936,4.1,87398,4.3,92393,3.9,83202,4.4,94641,4.5,93841,5.2,108024,5.4,108643,6.6,131031,6.9,133696,6.9,131653,6.3,120548,6.6,125403,6.9,129202,7.6,141100,9.1,166986,8.6,153395,10.2,178807,12.8,221228,13.2,224619,9.7,162480,8.4,141870,6.8,113519,5.9,96453,6.8,106571,6.4,95174
Alaska,AK,7.6,27712,8,29010,7.7,27860,6.4,22875,6.1,21366,6.5,22731,6.9,23715,7.4,25106,7.7,25787,7.1,23273,6.2,19790,6.2,19678,6.2,19488,6.1,19140,7.1,21998,7.5,23021,7.1,21568,7.5,22544,7.7,22500,8.9,25797,8.2,23000,7,19014,6.9,17727,8.7,21944,10.2,25501,11,28012,9.6,24126,9.9,24140,10,23232,9.8,21027,9.1,18068,9.4,17631,9,16449,10.6,19211,9.6,16673,7.6,12414
American Samoa,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arizona,AZ,9.5,287628,10.5,325485,9.9,309137,6,184528,3.7,111606,4.1,121196,4.7,133797,5,138687,5.7,155815,6,161643,4.7,121523,4,100390,4.5,110924,4.3,103497,4.6,105833,5.5,125901,5.3,118399,6.1,129147,6.4,124956,7.4,140227,5.7,104513,5.3,94163,5.3,90113,6.3,105626,6.4,104062,6.9,107724,6.3,94759,5,71669,9.2,127464,10,134235,6.2,78714,6.7,82480,5.1,59346,6.1,65583,8.4,87537,9.8,96279
Arkansas,AR,8,109987,7.9,107712,7.5,102246,5.4,73593,5.3,72414,5.3,71629,5.1,68617,5.6,72721,5.8,73900,5.3,67890,4.7,58656,4.2,52904,4.4,55723,5,62368,5.1,63261,5.1,63863,4.8,59015,5.3,64798,6.1,72178,7.1,82355,7.2,81153,6.8,76143,7,78936,7.7,85020,8.1,88739,8.5,90470,8.5,90059,8.3,86579,9.7,100352,9.5,96763,8.5,86949,7.5,74471,6,59032,6.1,58213,6.4,59214,6.9,61208
California,CA,11.7,2158328,12.4,2264898,11.3,2063862,7.2,1313054,5.4,960296,4.9,865423,5.4,952559,6.2,1089657,6.8,1190604,6.7,1162780,5.4,932073,4.9,833237,5.3,863680,6,963219,6.4,1011745,7.3,1132389,7.9,1201221,8.6,1317186,9.5,1456231,9.4,1435600,7.8,1173707,5.8,874416,5.1,746809,5.3,746606,5.8,800673,6.8,900319,7.2,933893,7.8,983072,9.8,1208775,10,1219238,7.4,879959,6.9,796359,6.3,705446,7.2,781165,8.3,865401,9.2,908352
Colorado,CO,8.3,225730,8.9,243755,8.1,222329,4.8,131074,3.8,101636,4.3,113728,5.1,132609,5.6,142469,6.1,152808,5.7,138625,3.8,91770,2.7,64798,3,71270,3.5,81611,3.4,75504,4.2,91964,4,85465,4.3,87271,5.3,102229,6,111636,5.4,98130,5.1,90725,5.6,96648,6.4,109373,7.5,127796,7.5,129634,6,103205,5.4,91283,7.3,122011,7.8,125183,5.5,85299,5.9,88130,4.6,66115,5.4,73497,6.5,84707,6,74736
Connecticut,CT,8.8,168649,9.3,178138,8.2,155521,5.6,105131,4.6,84820,4.4,80824,4.9,88389,4.9,88219,5.5,98143,4.4,78045,3.1,54793,2.3,39161,2.7,46210,3.3,56809,4.8,84917,5.3,93130,5.3,92328,5.5,96959,6.4,114378,7.3,133206,6.5,119491,4.9,89543,3.6,63991,2.9,49998,3.2,55755,3.8,64887,4.6,78140,4.5,75916,5.9,97161,6.9,112052,6,96822,5.9,92961,5.2,80651,5.3,79357,7.1,104951,9.1,132753
Delaware,DE,7.3,32229,8,35116,7.9,34532,4.8,21571,3.5,15576,3.5,15507,4,17193,3.9,16647,4.2,17557,4,16584,3.5,14579,3.3,13726,3.3,13331,3.5,13959,3.9,15376,4.3,16529,4.4,16834,4.6,17299,5,18562,5.4,19785,5.7,20796,4.2,15060,3.1,11126,2.9,10115,3.1,10355,3.9,12641,5.1,16058,6.2,19110,7.7,22838,8,23361,7.8,22543,7.4,20966,7.1,20001,7.3,20048,7.9,21265,8.1,21429
District of Columbia,DC,10.2,35273,10.1,34690,9.7,32429,6.6,21906,5.5,17794,5.7,18408,6.5,20692,7.5,23390,7,21546,6.7,20596,6.3,19168,5.7,17505,6.5,20069,8,23578,8.3,23759,8.5,24764,8.6,25727,8,24892,8.5,26568,8.6,27223,7.7,24756,6,19862,5.1,16001,5.1,16737,6.2,20294,7.3,23535,8,25857,8.9,28451,11,34418,10.6,32825,9,27677,7.3,23372,6.7,22111,7.3,24295,8.5,27943,9.2,30983
